Program,City,State,Interest,Setting,Class size,Competitiveness,Step Score Range,Hours/Week,Longest Shift,Days Off/week,Sick Days,Vacation Days,Family Leave Paid/Unpaid,Salary,COL-Adjusted Salary,Salary Stretch,Free Parking,Housing Stipend,Meal Stipend,Tech Stipend,,Website
Phoenix Children’s,Phoenix,AZ,Considering,CB/University Affiliated,39,Target/Reach,232-264,50,12,2,N,20,42/42,"$67,935.00","$65,765.00",79,Y,N,Y,N,,https://phoenixchildrens.org/healthcare-professionals/medical-education/graduate-medical-education/residency-programs/pediatric-residency
Cedars-Sinai Medical Center Program,Los Angeles,CA,Considering,CB/University Affiliated,8,High Reach,227-261,51,14,1.5,5,28,—/91,"$94,746.00","$83,403.00",100,Y,Y,Y,Y,,https://www.cedars-sinai.edu/education/graduate-medical/residency/pediatrics.html
UCSF,San Francisco,CA,Considering,University,29,High Reach,234-267,65,16,1,12,28,N x2,"$92,284.00","$79,830.00",96,N,Y,Y,N,,https://pediatrics.ucsf.edu/medical-education-residency
UCSF Benioff Children’s Hospital Oakland Program,Oakland,CA,High Interest,CB/University Affiliated,33,Reach,230-264,60,24,1.5,12,20,40/N,"$92,284.00","$79,830.00",96,Y,Y,Y,Y,,https://www.educationbenioffchildrenshospitaloakland.org/medical-education/pediatric-residency-program
UCLA David Geffen School of Medicine/UCLA Medical Center Program,Los Angeles,CA,Considering,University,29,,233-266,65,24,1.4,12,28,,"$89,261.00","$78,575.00",94,Y,Y,Y,Y,,https://www.uclahealth.org/departments/pediatrics/education/pediatric-residency-program
Kaiser Permanente Northern California Program,Oakland,CA,High Interest,CB/University Affiliated,10,,222-256,60,16,1.2,13,28,84/N,"$90,276.00","$78,093.00",94,Y,Y,Y,Y,,https://residency-ncal.kaiserpermanente.org/residency/peds/
UC Davis,Sacramento,CA,Considering,University,15,,231-263,60,18,1.4,12,20,N x2,"$82,826.00","$77,625.00",93,N,Y,Y,Y,,https://health.ucdavis.edu/pediatrics/academic-programs/pediatric-residency-program/
UCSD,San Diego,CA,Considering,University,20,Reach/High Reach,236-267,50,24,1.5,12,28,N x2,"$85,819.00","$76,693.00",92,Y,Y,Y,Y,,https://pediatrics.ucsd.edu/education/pediatric-residency-training-program/index.html
Kaiser LAMC,Los Angeles,CA,Considering,CB/University Affiliated,8,,227-261,60,16,1.5,12,20,12/60,"$84,277.00","$74,188.00",89,Y,Y,Y,Y,,https://residency-scal-kaiserpermanente.org/residency/pediatrics/
Yale,New Haven,CT,Considering,University,23,Reach,235-268,65,24,1.5,N,21,Nx2,"$86,080.00","$82,294.00",99,N,N,Y,Y,,https://medicine.yale.edu/pediatrics/education/residency/pediatrics-residency/
